country,country_code,country_iso,prefix,number_type,voice_rate_in_usd,voice_unit_in_seconds,rental_rate_per_number_per_month_in_usd,one_time_setup_rate_per_number_in_usd
Argentina,54,ARG,54,fixed,0.00500,60,6.00000,0.00000
Australia,61,AUS,61,fixed,0.00500,60,2.50000,0.00000
Austria,43,AUT,43,fixed,0.00500,60,0.80000,0.80000
Bahrain,973,BHR,973,fixed,0.00500,60,5.50000,0.00000
Belgium,32,BEL,32,fixed,0.00500,60,0.80000,0.00000
Brazil,55,BRA,55,fixed,0.00500,60,4.00000,0.00000
Bulgaria,359,BGR,359,fixed,0.00500,60,1.50000,0.00000
Canada,1,CAN,1,fixed,0.00850,60,1.00000,0.00000
Chile,56,CHL,56,fixed,0.00500,60,4.50000,0.00000
China,86,CHN,86,fixed,0.01950,60,19.50000,32.50000
Colombia,57,COL,57,fixed,0.00500,60,12.00000,0.00000
Croatia,385,HRV,385,fixed,0.00500,60,1.00000,0.00000
Cyprus,357,CYP,357,fixed,0.00500,60,4.50000,0.00000
Czech Republic,420,CZE,420,fixed,0.00500,60,0.80000,0.80000
Denmark,45,DNK,45,fixed,0.00500,60,0.80000,0.00000
Dominican Republic,1809,DOM,1,fixed,0.00500,60,5.50000,0.00000
El Salvador,503,SLV,503,fixed,0.00500,60,2.50000,0.00000
Estonia,372,EST,372,fixed,0.00500,60,1.00000,0.00000
Finland,358,FIN,358,fixed,0.00500,60,0.80000,0.00000
France,33,FRA,33,fixed,0.00500,60,0.80000,0.00000
Georgia,995,GEO,995,fixed,0.00500,60,2.50000,0.00000
Germany,49,DEU,49,fixed,0.00500,60,2.50000,0.00000
Greece,30,GRC,30,fixed,0.00500,60,0.80000,0.00000
Hong Kong,852,HKG,852,fixed,0.00500,60,2.50000,0.00000
Hungary,36,HUN,36,fixed,0.00500,60,1.00000,0.00000
Ireland,353,IRL,353,fixed,0.00500,60,0.80000,0.00000
Israel,972,ISR,972,fixed,0.00500,60,2.50000,0.00000
Italy,39,ITA,39,fixed,0.00500,60,0.80000,0.00000
Japan,81,JPN,81,fixed,0.00500,60,2.50000,0.00000
Latvia,371,LVA,371,fixed,0.00500,60,1.00000,0.00000
Lithuania,370,LTU,370,fixed,0.00500,60,1.00000,0.00000
Luxembourg,352,LUX,352,fixed,0.00500,60,1.00000,0.00000
Malaysia,60,MYS,60,fixed,0.01980,60,15.00000,25.00000
Malta,356,MLT,356,fixed,0.00500,60,2.50000,0.00000
Mexico,52,MEX,52,fixed,0.00500,60,4.00000,0.00000
Netherlands,31,NLD,31,fixed,0.00500,60,0.80000,0.00000
New Zealand,64,NZL,64,fixed,0.00500,60,2.50000,0.00000
Norway,47,NOR,47,fixed,0.00500,60,0.80000,0.00000
Panama,507,PAN,507,fixed,0.00500,60,2.50000,0.00000
Peru,51,PER,51,fixed,0.00500,60,2.50000,0.00000
Philippines,63,PHL,63,fixed,0.22300,60,25.00000,45.00000
Poland,48,POL,48,fixed,0.00500,60,0.80000,0.00000
Portugal,351,PRT,351,fixed,0.00500,60,0.80000,0.00000
Puerto Rico,1,PRI,1,fixed,0.00500,60,3.50000,0.00000
Romania,40,ROU,40,fixed,0.00500,60,2.00000,0.00000
Russia,7,RUS,7,fixed,0.05000,60,40.00000,0.00000
Singapore,65,SGP,65,fixed,0.00500,60,2.50000,0.00000
Slovakia,421,SVK,421,fixed,0.00500,60,1.00000,0.00000
Slovenia,386,SVN,386,fixed,0.00500,60,1.00000,0.00000
South Africa,27,ZAF,27,fixed,0.00500,60,0.80000,0.00000
South Korea,82,KOR,82,fixed,0.00500,60,2.00000,2.00000
Spain,34,ESP,34,fixed,0.00500,60,0.80000,0.00000
Sweden,46,SWE,46,fixed,0.00500,60,0.80000,0.80000
Switzerland,41,CHE,41,fixed,0.00500,60,0.80000,0.00000
United Kingdom,44,GBR,44,fixed,0.00500,60,0.80000,0.00000
United States,1,USA,1,fixed,0.00850,60,0.80000,0.00000
Argentina,54,ARG,54,tollfree,0.01500,60,25.00000,25.00000
Australia,61,AUS,61,tollfree,0.04500,60,15.00000,50.00000
Austria,43,AUT,43,tollfree,0.33000,60,1.00000,4.00000
Bahrain,973,BHR,973,tollfree,0.06600,60,6.00000,15.00000
Belgium,32,BEL,32,tollfree,0.41000,60,1.00000,3.00000
Canada,1,CAN,1,tollfree,0.03000,60,2.00000,1.00000
Croatia,385,HRV,385,tollfree,0.26600,60,2.00000,3.00000
Denmark,45,DNK,45,tollfree,0.23000,60,1.00000,1.00000
Finland,358,FIN,358,tollfree,0.23000,60,30.00000,160.00000
France,33,FRA,33,tollfree,0.04700,60,1.00000,1.00000
Germany,49,DEU,49,tollfree,0.26600,60,15.00000,15.00000
Greece,30,GRC,30,tollfree,0.03000,60,2.00000,2.00000
Hungary,36,HUN,36,tollfree,0.14500,60,3.00000,3.00000
Ireland,353,IRL,353,tollfree,0.85000,60,1.00000,4.00000
Israel,972,ISR,972,tollfree,0.04200,60,12.00000,24.00000
Italy,39,ITA,39,tollfree,0.55800,60,1.00000,5.00000
Netherlands,31,NLD,31,tollfree,0.04500,60,5.00000,150.00000
New Zealand,64,NZL,64,tollfree,0.06500,60,26.00000,39.00000
Norway,47,NOR,47,tollfree,0.04500,60,2.00000,3.00000
Portugal,351,PRT,351,tollfree,0.32000,60,1.00000,3.00000
Puerto Rico,1,PRI,1,tollfree,0.05000,60,2.00000,5.00000
Spain,34,ESP,34,tollfree,0.48000,60,1.00000,3.00000
Sweden,46,SWE,46,tollfree,0.13000,60,30.00000,25.00000
United Kingdom,44,GBR,44,tollfree,0.05000,60,1.40000,1.50000
United States,1,USA,1,tollfree,0.02100,60,1.00000,0.00000
Few phone numbers may have higher incoming charges per minute.
